country,patent,title,claim,sections
US,"4,796,087",Block skipping/coded block pattern,1,"0.6.2, 0.6.3, 3.75, 6.2, 6.4.2, 7.3.4, 7.3.5, 7.3.5.3, 7.4.5, 7.44, Fig. 6-9, Tables 7-13, 7-14"
US,"4,849,812",Field/frame transform selection,1,"0.2, 0.6.2, 3.27, 3.41, 3.47, 3.48, 3.53, 3.69, 3.75, 3.76, 3.153, 6.2, 6.3, 6.4.1, 6.4.3, 7.4.2.1, 7.4.4, 8.5.12, Figs. 6-7, 6-8"
US,"4,864,393",Fractional pel chrominance motion vector derivation,1,"3.85, 3.106, 3.108, 8.4, 8.4.1, 8.4.1.3, 8.4.1.4"
US,"5,021,879",Macroblock & subblock header,1,"3.14, 3.15, 3.27, 3.41, 3.46, 3.63, 3.64, 3.66, 3.75, 3.98, 3.101, 3.102, 3.105, 3.106, 3.108, 3.121, 3.127, 3.130, 3.136, 3.145, 3.146, 6.1, 6.2, 6.3, 6.4.2, 7.3.5, 7.3.5.1, 7.3.5.2, 7.4.4, 7.4.5, 7.4.5.2, 8, 8.3, 8.4, Fig. 6-9, Tables 7-10, 7-13, 7-15, 7-17"
US,5103307,Inter prediction samples,4,"3.8, 3.61, 3.66, 3.69, 3.87, 3.100, 7.3.2.4, 7.3.3, 7.3.5, 7.3.5.1, 7.3.5.3, 7.4.2.2, 7.4.2.4, 7.4.3, 7.4.5, 7.4.5.1, 8, 8.2.1, 8.2.4.2, 8.2.4.2.3, 8.3, 8.4, 8.4.2, 8.4.2.3, 8.4.2.3.1, 8.5, 8.5.1, 8.5.3, 8.5.4, 8.5.6, 8.5.8, 8.5.11, 8.5.11.1, 8.5.11.2, 8.5.12, Tables 7-5, 7-6, 7-10, 7-14"
US,"5,128,758",Component optimized coding,11,"3.24, 3.53, 3.74, 6.2, 8.5.2, 8.5.4, 8.5.5, 8.5.8, 8.5.9, 8.5.10, 8.5.12, Figs. 6-1, 6-2"
US,5179442,Component optimized coding,1,"0.2, 3.14, 3.24, 3.26, 3.39, 3.41, 3.53, 3.54, 3.74, 3.75, 6.2, 6.3, 8, 8.1, 8.5, 8.5.2, 8.5.4, 8.5.5, 8.5.6, 8.5.8, 8.5.9, 8.5.10, 8.5.12, Figs. 6-1, 6-7, 6-8"
US,"5,223,949",Frame ordering,5,"0.6, 0.6.1, 0.6.2, 0.6.3, 8, 7.4.3, 7.4.5, 7.4.5.1, 8.3, 8.4, 8.4.1.2.3, C, C.2, C.2.2, Figs. C-2, Tables 7-10 to 7-14"
US,"5,235,618",Decoder buffer conformance,25,"Annex C.1, C.1.1, C.1.2, C.3, Fig. C-2"
US,"5,367,385",Deblocking filtering,1,"8.7, 8.7.1, 8.7.2.1, 8.7.2.4, Fig. 8-11 "
